Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
70,100000,100000,0.72,7.58,200000,13681,7.105401651926029,4.304254752906514
80,100000,100000,0.73,8.00,200000,15735,7.160216078805211,4.311686190765184
90,100000,100000,1.13,7.19,200000,17264,7.083700185356812,4.333756241154482
100,100000,100000,0.69,7.38,200000,6822,7.364995602462621,4.420255003451554
110,100000,100000,0.77,7.72,200000,20933,7.127549801748436,4.32781193504347
120,100000,100000,0.73,7.78,200000,22647,7.145317260564313,4.339144042200612
130,100000,100000,0.84,8.02,200000,24198,7.100132242334078,4.3032369765243175
140,100000,100000,0.79,7.80,200000,26219,7.145581448567833,4.339716805125925
150,100000,100000,0.67,7.58,200000,10200,7.3600980392156865,4.4441204836744825
160,100000,100000,0.92,7.94,200000,29406,7.131945861388832,4.305365143729436
170,100000,100000,0.88,8.08,200000,29999,7.148638287942932,4.348762449800142
180,100000,100000,0.92,7.80,200000,30523,7.1267241096877765,4.338971866784487
190,100000,100000,0.75,8.03,200000,31171,7.12351223894004,4.361799634331077
200,100000,100000,0.66,7.55,200000,13491,7.373137647320436,4.456940224672095
210,100000,100000,0.74,8.11,200000,32222,7.146297560672832,4.353624599393797
220,100000,100000,0.74,7.95,200000,32865,7.140392514833409,4.36049106538722
230,100000,100000,0.75,8.16,200000,33522,7.15005071296462,4.3438856967724355
240,100000,100000,0.73,8.06,200000,33378,7.137965126730181,4.340130642758026
250,100000,100000,0.65,7.59,200000,4452,7.716082659478886,4.465226197740183
260,100000,100000,0.76,8.16,200000,35139,7.1984120208315545,4.383868304233276
270,100000,100000,0.75,8.42,200000,35749,7.160955551204229,4.359559460889158
280,100000,100000,0.75,8.14,200000,36211,7.14037171025379,4.349700858518494
290,100000,100000,0.76,7.88,200000,36678,7.192186051584056,4.361254203345784
300,100000,100000,0.67,7.78,200000,19791,7.34192309635693,4.4304929331246585
310,100000,100000,0.77,7.98,200000,37621,7.157970282554956,4.3469549817381665
320,100000,100000,0.76,8.50,200000,38587,7.167517557726695,4.355821520114179
330,100000,100000,0.77,8.19,200000,38866,7.175706272834868,4.385106020888173
340,100000,100000,0.77,8.61,200000,39272,7.179186188633123,4.370896415356266
350,100000,100000,0.67,7.89,200000,23015,7.278861611992179,4.4058188244591046
360,100000,100000,0.79,8.48,200000,39372,7.156634156253175,4.370944346844067
370,100000,100000,0.78,8.22,200000,39512,7.196573192954039,4.383931558978129
380,100000,100000,0.78,8.33,200000,39687,7.168619447174137,4.347564294122198
390,100000,100000,0.79,8.19,200000,39771,7.18453144250836,4.359500919961465
400,100000,100000,0.72,8.34,200000,25611,7.329975401194799,4.422301482880407
410,100000,100000,0.79,8.47,200000,40520,7.183785784797631,4.389398782332565
420,100000,100000,0.80,8.31,200000,40575,7.187948243992606,4.378983815110788
430,100000,100000,0.80,8.36,200000,40829,7.209189546645766,4.38196131802912
440,100000,100000,0.80,8.25,200000,41329,7.223765394759128,4.405167732271946
450,100000,100000,0.69,7.94,200000,28408,7.288123063925655,4.415379028113288
460,100000,100000,0.81,8.19,200000,41903,7.174020953153712,4.37238241845471
470,100000,100000,0.81,8.22,200000,42405,7.183539676924891,4.3965605975123
480,100000,100000,0.82,8.17,200000,42375,7.216589970501475,4.37856756281942
490,100000,100000,0.82,8.02,200000,42659,7.236784734757027,4.4032284064445975
500,100000,100000,0.72,7.59,200000,8702,7.727304068030338,4.456507989291401
1,1000000,1000000,35.12,35.11,2000000,353,6.8923512747875355,4.028276951059508
10,1000000,1000000,6.92,67.41,2000000,3288,7.146897810218978,4.268592836767652
20,1000000,1000000,6.90,74.86,2000000,6462,7.118539151965336,4.260900131279873
30,1000000,1000000,6.83,75.25,2000000,9567,7.14832235810599,4.296852902358219
40,1000000,1000000,7.01,73.84,2000000,12763,7.0828958708767535,4.251480896234792
50,1000000,1000000,6.54,72.78,2000000,9853,7.161473662843804,4.3352001280758055
60,1000000,1000000,6.83,75.28,2000000,18976,7.028720489038786,4.213419475946879
70,1000000,1000000,6.82,76.11,2000000,22268,7.089006646308604,4.246331165906526
80,1000000,1000000,6.91,76.30,2000000,25618,7.102037629791552,4.239480222057374
90,1000000,1000000,7.07,76.56,2000000,28186,7.044667565458028,4.232973966558766
100,1000000,1000000,6.61,75.75,2000000,19354,7.131600702697117,4.328366913868938
110,1000000,1000000,6.99,77.84,2000000,34594,7.100190784529109,4.241770976149202
120,1000000,1000000,7.07,77.70,2000000,37156,7.057137474432124,4.230690290586342
130,1000000,1000000,7.04,78.08,2000000,39964,7.0465919327394655,4.222946474523229
140,1000000,1000000,7.06,77.78,2000000,43732,7.0318531052776,4.2297735361831075
150,1000000,1000000,6.86,77.06,2000000,28627,7.110070912076012,4.32135953218284
160,1000000,1000000,6.87,78.12,2000000,49883,7.064370627267807,4.211477693519648
170,1000000,1000000,7.26,78.12,2000000,53338,7.075743372454911,4.2406825608115915
180,1000000,1000000,7.50,77.41,2000000,55968,7.049153087478559,4.21758390618232
190,1000000,1000000,7.65,78.17,2000000,59443,7.056709789209831,4.220017776860723
200,1000000,1000000,6.82,76.73,2000000,38646,7.145189670341044,4.349792769135266
210,1000000,1000000,7.65,77.39,2000000,66041,7.035826229160673,4.211074701121831
220,1000000,1000000,7.71,77.11,2000000,69506,7.053793917071907,4.2310744159766775
230,1000000,1000000,7.72,78.12,2000000,72217,7.073306839109905,4.241318480443971
240,1000000,1000000,7.81,77.89,2000000,74931,7.056251751611483,4.218656489527318
250,1000000,1000000,6.56,75.83,2000000,17133,7.361758010856242,4.436241337897813
260,1000000,1000000,8.25,78.06,2000000,80605,7.079573227467279,4.2369458112467795
270,1000000,1000000,8.17,78.62,2000000,84154,7.082075718325926,4.242761267410661
