Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
90,100000,100000,0.41,2.68,200000,35532,10.511595181807948,4.425810981296951
100,100000,100000,0.40,2.73,200000,35685,10.51671570687964,4.4113764404734415
110,100000,100000,0.40,2.68,200000,35747,10.455199037681483,4.419603921291431
120,100000,100000,0.44,2.97,200000,35582,10.527176662357371,4.414135323823004
130,100000,100000,0.40,2.40,200000,35637,10.491764177680501,4.405570105119317
140,100000,100000,0.40,2.76,200000,35834,10.519953117151308,4.380400203092472
150,100000,100000,0.40,2.68,200000,35569,10.54963591891816,4.419535447584619
160,100000,100000,0.40,2.79,200000,35841,10.527356937585447,4.414589456607235
170,100000,100000,0.40,2.65,200000,35470,10.477727657175077,4.411921498413267
180,100000,100000,0.41,2.74,200000,35855,10.497699065681216,4.403048306425116
190,100000,100000,0.40,2.79,200000,35441,10.498434017098841,4.40609367656661
200,100000,100000,0.40,2.74,200000,35526,10.504334853346844,4.398998134396104
210,100000,100000,0.40,2.68,200000,35392,10.514692585895117,4.39433428051457
220,100000,100000,0.41,2.75,200000,35785,10.493419030319966,4.420879254022982
230,100000,100000,0.41,2.69,200000,35746,10.545599507637219,4.424420629898179
240,100000,100000,0.41,2.76,200000,35596,10.531829419035846,4.399469177356798
250,100000,100000,0.40,2.66,200000,35636,10.500392861151644,4.416517444374628
260,100000,100000,0.41,2.76,200000,35685,10.498949138293401,4.428495061156654
270,100000,100000,0.41,2.75,200000,35586,10.464930028662957,4.425927710843165
280,100000,100000,0.41,2.79,200000,35585,10.53421385415203,4.411552706951609
290,100000,100000,0.41,2.66,200000,35535,10.516476713099761,4.417005438411672
300,100000,100000,0.41,2.83,200000,35768,10.50251621561172,4.417479689593161
310,100000,100000,0.41,2.78,200000,35602,10.474748609628673,4.396175791636194
320,100000,100000,0.41,2.77,200000,35730,10.479177162048698,4.39239063191207
330,100000,100000,0.41,2.80,200000,35596,10.472356444544332,4.393797741871182
340,100000,100000,0.42,2.77,200000,35603,10.477263151981575,4.420798829628986
350,100000,100000,0.42,2.81,200000,35697,10.480068353082892,4.4092080664225755
360,100000,100000,0.41,2.72,200000,35649,10.518443715111223,4.406519962435852
370,100000,100000,0.42,2.64,200000,35492,10.508001803223262,4.4204919560204825
380,100000,100000,0.41,2.56,200000,35582,10.491512562531618,4.420236177733969
390,100000,100000,0.41,2.55,200000,35394,10.464231225631464,4.40554054810818
400,100000,100000,0.42,2.75,200000,35686,10.494059294961609,4.420176904417436
410,100000,100000,0.42,2.85,200000,35638,10.497362366013805,4.420573129344768
420,100000,100000,0.42,2.77,200000,35350,10.4990099009901,4.408532618070718
430,100000,100000,0.42,2.74,200000,35652,10.497587793111187,4.436938870351192
440,100000,100000,0.42,2.67,200000,35537,10.467259476039057,4.386443535091733
450,100000,100000,0.42,2.65,200000,35442,10.503837255233904,4.400077651203884
460,100000,100000,0.42,2.74,200000,35603,10.496896328961043,4.3953108617076415
470,100000,100000,0.42,2.78,200000,35436,10.479597019979682,4.451954918955004
480,100000,100000,0.42,2.84,200000,35512,10.530440414507773,4.4005380011361
490,100000,100000,0.42,2.72,200000,35895,10.486446580303664,4.40511094108013
500,100000,100000,0.42,2.67,200000,35682,10.49806625189171,4.399815936424432
