Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
300,100000,100000,2.05,28.49,200000,19679,7.309873469180345,4.419132512964262
310,100000,100000,2.04,25.27,200000,36827,7.159502538898091,4.3873230745596485
320,100000,100000,2.03,24.85,200000,37910,7.184542337114218,4.35009062536693
330,100000,100000,2.01,24.80,200000,37707,7.161747155700533,4.361382176246432
340,100000,100000,2.08,25.41,200000,38064,7.171526902059689,4.3826722455348905
350,100000,100000,1.99,26.94,200000,22604,7.337904795611396,4.434978006157988
360,100000,100000,2.05,25.03,200000,38722,7.141573265843706,4.376226935379315
370,100000,100000,2.02,24.74,200000,38831,7.1695037470062575,4.377477081281713
380,100000,100000,2.04,24.86,200000,39037,7.176294284909189,4.370879678875999
390,100000,100000,2.05,24.90,200000,39201,7.174842478508201,4.3757379250921105
400,100000,100000,1.98,27.98,200000,25434,7.345679012345679,4.440100958888563
410,100000,100000,2.08,24.83,200000,39832,7.174357300662784,4.378269322715352
420,100000,100000,2.06,24.94,200000,40033,7.16968500986686,4.3781758192648965
430,100000,100000,2.10,24.96,200000,40442,7.204267840363978,4.360119976537999
440,100000,100000,2.06,24.40,200000,40740,7.195925380461463,4.381274361012441
450,100000,100000,2.04,26.59,200000,28348,7.307323267955411,4.405995746879653
460,100000,100000,2.09,24.77,200000,41428,7.230616974027228,4.373454878363767
470,100000,100000,2.08,24.58,200000,41748,7.208920187793427,4.391324188340064
480,100000,100000,2.08,24.61,200000,41932,7.206262520270915,4.369751468597694
490,100000,100000,2.03,24.80,200000,42281,7.242780445117192,4.384847637753451
500,100000,100000,1.93,30.64,200000,8599,7.693336434469124,4.456561011845602
1,1000000,1000000,61.71,61.70,2000000,353,6.793201133144476,4.204267205470974
10,1000000,1000000,19.95,183.95,2000000,3313,7.011168125565952,4.198954133474474
20,1000000,1000000,19.43,289.26,2000000,6238,7.056268034626483,4.235667245117232
30,1000000,1000000,19.26,300.60,2000000,9524,7.080113397732045,4.243208352720414
40,1000000,1000000,19.34,300.07,2000000,12250,7.0413061224489795,4.212215877800575
50,1000000,1000000,19.28,302.70,2000000,9325,7.143806970509384,4.34867784722376
60,1000000,1000000,19.24,301.23,2000000,18156,7.0256664463538225,4.191084683640678
70,1000000,1000000,19.13,299.69,2000000,21217,7.058113776688504,4.223864641428874
80,1000000,1000000,19.11,299.58,2000000,24473,7.064683528786826,4.256480771014721
90,1000000,1000000,19.30,301.48,2000000,27492,7.068347155536156,4.241742811342981
100,1000000,1000000,19.27,303.00,2000000,19092,7.120574062434527,4.344089554718475
110,1000000,1000000,19.31,302.04,2000000,34199,7.0318137957250215,4.237190169291453
120,1000000,1000000,19.30,302.67,2000000,37202,7.053733670232783,4.2123022684291085
130,1000000,1000000,19.42,303.20,2000000,40075,7.045389893948846,4.231617151243775
140,1000000,1000000,19.41,302.88,2000000,43411,7.062518716454355,4.206297108527268
150,1000000,1000000,19.35,304.47,2000000,28825,7.07673894189072,4.322646304616818
160,1000000,1000000,19.39,302.57,2000000,49305,7.057032755298652,4.228307266988939
170,1000000,1000000,19.34,300.39,2000000,52283,7.026892106420825,4.210646892954938
180,1000000,1000000,19.41,301.38,2000000,55033,7.067177875093126,4.239814341079062
190,1000000,1000000,19.34,299.89,2000000,58327,7.056440413530612,4.223296607850457
200,1000000,1000000,19.39,304.53,2000000,38150,7.089357798165137,4.321475690926205
210,1000000,1000000,19.39,299.53,2000000,64040,7.0573079325421615,4.2329711716013625
220,1000000,1000000,19.44,300.40,2000000,67492,7.063637171812956,4.236670990078687
230,1000000,1000000,19.45,299.84,2000000,69794,7.049101641974955,4.216078440885268
240,1000000,1000000,19.39,299.26,2000000,73107,7.036590203400495,4.235243146208766
250,1000000,1000000,19.33,307.17,2000000,16849,7.41729479494332,4.461672008522216
260,1000000,1000000,19.45,298.23,2000000,79295,7.036597515606281,4.217746884429495
270,1000000,1000000,19.47,298.84,2000000,83088,7.0635831889081455,4.239747697860889
280,1000000,1000000,19.43,298.74,2000000,85177,7.067424304683189,4.2352731357661755
290,1000000,1000000,19.47,298.32,2000000,87617,7.040517251218371,4.223308316088266
300,1000000,1000000,19.39,301.59,2000000,56362,7.113001667790355,4.33743193723949
310,1000000,1000000,19.54,299.23,2000000,93150,7.051358024691358,4.228853407528096
320,1000000,1000000,19.51,297.31,2000000,96758,7.041567622315467,4.235881203844796
330,1000000,1000000,19.53,298.39,2000000,98657,7.06135398400519,4.230466866208263
340,1000000,1000000,19.58,296.78,2000000,101540,7.071321646641717,4.232574611331163
350,1000000,1000000,19.44,300.70,2000000,65738,7.133088928777876,4.33031997989943
360,1000000,1000000,19.66,299.48,2000000,105487,7.09111075298378,4.2480304610972315
370,1000000,1000000,19.61,297.15,2000000,107751,7.058282521739938,4.218122415533009
380,1000000,1000000,20.01,304.24,2000000,110048,7.058574440244257,4.233058475539976
390,1000000,1000000,19.61,297.73,2000000,111985,7.068446666964325,4.229871056423105
400,1000000,1000000,19.54,300.42,2000000,75621,7.1085545020563075,4.32004467381636
410,1000000,1000000,19.58,296.20,2000000,116327,7.0606823867201935,4.2391527773919435
420,1000000,1000000,19.60,295.91,2000000,118253,7.078535005454407,4.246238563633127
430,1000000,1000000,19.64,296.38,2000000,121018,7.065634864235072,4.2332850795462535
440,1000000,1000000,19.65,296.06,2000000,123696,7.073890829129478,4.240983175916813
450,1000000,1000000,19.44,297.09,2000000,85367,7.111377932924901,4.340692529127909
460,1000000,1000000,19.59,293.28,2000000,128290,7.045989554914646,4.246861255133774
470,1000000,1000000,19.65,293.40,2000000,130187,7.073816894159939,4.246633340955447
480,1000000,1000000,19.61,294.45,2000000,132579,7.053839597522987,4.24079817350132
490,1000000,1000000,19.33,286.06,2000000,134729,7.068055132896407,4.246126820541085
500,1000000,1000000,19.13,301.42,2000000,33836,7.377822437640383,4.459932512778324
2,10000,10000,0.51,0.99,20000,369,6.907859078590786,4.194609379865116
5,10000,10000,0.23,1.06,20000,318,7.610062893081761,4.362027065736175
2,100000,100000,4.07,7.92,200000,604,7.129139072847682,4.3931816521422755
5,100000,100000,1.85,9.19,200000,781,7.084507042253521,4.331225700743807
2,1000000,1000000,38.69,76.04,2000000,653,7.047473200612558,4.213535072590037
5,1000000,1000000,17.56,86.27,2000000,1183,7.091293322062553,4.24823446170747
