Function,NCalls,TotTime,PercallTot,CumTime,PercallCum,Filename,Line,FuncName
~:0:<method 'close' of '_io.TextIOWrapper' objects>,1,0.0002064,0.0002064,0.0002064,0.0002064,~,0,<method 'close' of '_io.TextIOWrapper' objects>
~:0:<built-in method io.open>,2,0.00051,0.000255,0.0005156000000000001,0.00025780000000000003,~,0,<built-in method io.open>
~:0:<built-in method io.text_encoding>,2,7.000000000000001e-07,3.5000000000000004e-07,7.000000000000001e-07,3.5000000000000004e-07,~,0,<built-in method io.text_encoding>
~:0:<built-in method _winapi.LCMapStringEx>,208,0.00025,1.201923076923077e-06,0.00025,1.201923076923077e-06,~,0,<built-in method _winapi.LCMapStringEx>
~:0:<method 'get' of 'dict' objects>,104,5.9600000000000005e-05,5.730769230769231e-07,5.9600000000000005e-05,5.730769230769231e-07,~,0,<method 'get' of 'dict' objects>
~:0:<method 'pop' of 'dict' objects>,10,4.4e-06,4.4e-07,4.4e-06,4.4e-07,~,0,<method 'pop' of 'dict' objects>
~:0:<method 'values' of 'dict' objects>,1,3.0000000000000004e-07,3.0000000000000004e-07,3.0000000000000004e-07,3.0000000000000004e-07,~,0,<method 'values' of 'dict' objects>
~:0:<method 'clear' of 'dict' objects>,9,1.7e-06,1.888888888888889e-07,1.7e-06,1.888888888888889e-07,~,0,<method 'clear' of 'dict' objects>
~:0:<method 'append' of 'list' objects>,12753,0.0027111,2.1258527405316398e-07,0.0027111,2.1258527405316398e-07,~,0,<method 'append' of 'list' objects>
~:0:<method 'remove' of 'list' objects>,2,9.100000000000001e-06,4.5500000000000005e-06,9.100000000000001e-06,4.5500000000000005e-06,~,0,<method 'remove' of 'list' objects>
~:0:<method 'add' of 'set' objects>,12751,0.0091635,7.186495176848875e-07,0.0091635,7.186495176848875e-07,~,0,<method 'add' of 'set' objects>
~:0:<method 'discard' of 'set' objects>,12252,0.0016548,1.3506366307541626e-07,0.0016548,1.3506366307541626e-07,~,0,<method 'discard' of 'set' objects>
~:0:<method 'difference_update' of 'set' objects>,12751,0.0018537,1.4537683318955377e-07,0.0018537,1.4537683318955377e-07,~,0,<method 'difference_update' of 'set' objects>
~:0:<method 'replace' of 'str' objects>,260,5.84e-05,2.2461538461538462e-07,5.84e-05,2.2461538461538462e-07,~,0,<method 'replace' of 'str' objects>
~:0:<method 'find' of 'str' objects>,52,3.26e-05,6.26923076923077e-07,3.26e-05,6.26923076923077e-07,~,0,<method 'find' of 'str' objects>
~:0:<method 'rfind' of 'str' objects>,156,6.450000000000001e-05,4.1346153846153853e-07,6.450000000000001e-05,4.1346153846153853e-07,~,0,<method 'rfind' of 'str' objects>
~:0:<method 'rstrip' of 'str' objects>,52,2.6300000000000002e-05,5.057692307692308e-07,2.6300000000000002e-05,5.057692307692308e-07,~,0,<method 'rstrip' of 'str' objects>
~:0:<built-in method builtins.__build_class__>,2,2.29e-05,1.145e-05,2.5e-05,1.25e-05,~,0,<built-in method builtins.__build_class__>
~:0:<built-in method builtins.exec>,2,0.0011293,0.00056465,18.850565200000002,9.425282600000001,~,0,<built-in method builtins.exec>
~:0:<built-in method builtins.hasattr>,106,5.31e-05,5.009433962264151e-07,5.31e-05,5.009433962264151e-07,~,0,<built-in method builtins.hasattr>
~:0:<built-in method builtins.isinstance>,379,7.94e-05,2.0949868073878629e-07,7.94e-05,2.0949868073878629e-07,~,0,<built-in method builtins.isinstance>
~:0:<built-in method builtins.len>,157,3.27e-05,2.0828025477707007e-07,3.27e-05,2.0828025477707007e-07,~,0,<built-in method builtins.len>
~:0:<built-in method builtins.max>,52,4.04e-05,7.769230769230769e-07,4.04e-05,7.769230769230769e-07,~,0,<built-in method builtins.max>
~:0:<built-in method builtins.print>,5,0.0008441000000000001,0.00016882000000000003,0.0008441000000000001,0.00016882000000000003,~,0,<built-in method builtins.print>
~:0:<built-in method sys._getframe>,52,4.94e-05,9.5e-07,4.94e-05,9.5e-07,~,0,<built-in method sys._getframe>
~:0:<method 'disable' of '_lsprof.Profiler' objects>,1,6.000000000000001e-07,6.000000000000001e-07,6.000000000000001e-07,6.000000000000001e-07,~,0,<method 'disable' of '_lsprof.Profiler' objects>
