Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
340,100000,100000,2.25,31.55,200000,38754,7.160938225731537,4.360858681411989
350,100000,100000,2.24,34.42,200000,22772,7.3469611803969785,4.430966738575169
360,100000,100000,2.25,33.92,200000,39157,7.161503690272493,4.36381379544542
370,100000,100000,2.25,34.67,200000,39445,7.160578020027887,4.3758230391065505
380,100000,100000,2.25,35.44,200000,39778,7.160490723515511,4.363419588533244
390,100000,100000,2.25,35.14,200000,39824,7.170927079148252,4.361998636101855
400,100000,100000,2.24,35.38,200000,25797,7.3387603209675545,4.444976281149929
410,100000,100000,2.25,35.25,200000,40349,7.169669632456814,4.367511554075463
420,100000,100000,2.26,34.72,200000,40755,7.2132253711201075,4.402374005227219
430,100000,100000,2.25,35.14,200000,41104,7.196720513818606,4.365174482736239
440,100000,100000,2.25,35.05,200000,41317,7.204830941259046,4.381952563808935
450,100000,100000,2.24,35.48,200000,28497,7.3057163911990735,4.431478905734108
460,100000,100000,2.25,35.23,200000,42128,7.189280288644132,4.386778601696816
470,100000,100000,2.26,35.33,200000,42160,7.1707542694497155,4.378517592208393
480,100000,100000,2.26,35.02,200000,42478,7.1920758981119635,4.366914272986226
490,100000,100000,2.25,35.08,200000,42446,7.208123262498233,4.382757418476603
500,100000,100000,2.22,34.94,200000,8763,7.746319753509073,4.46831995546243
1,1000000,1000000,48.86,48.86,2000000,399,6.844611528822055,3.9812266470326247
10,1000000,1000000,23.74,228.31,2000000,3367,7.151767151767152,4.271791394577917
20,1000000,1000000,22.10,309.56,2000000,6598,7.033343437405274,4.24129465270038
30,1000000,1000000,22.21,333.27,2000000,9478,7.0526482380249,4.214627153594257
40,1000000,1000000,22.29,339.80,2000000,12442,7.060842308310561,4.214040078268863
50,1000000,1000000,22.23,341.42,2000000,9855,7.114459665144596,4.328350068886129
60,1000000,1000000,22.25,337.59,2000000,18630,7.0202898550724635,4.20927361297089
70,1000000,1000000,22.19,337.22,2000000,22006,7.049850040897937,4.244013196497962
80,1000000,1000000,22.23,341.45,2000000,25419,7.069554270427633,4.24939086066158
90,1000000,1000000,22.28,340.14,2000000,28443,7.051365889674085,4.211098488864769
100,1000000,1000000,22.10,344.59,2000000,19257,7.131276938256218,4.332609680330109
110,1000000,1000000,22.25,344.48,2000000,34311,7.090175162484335,4.231424673411115
120,1000000,1000000,22.33,340.80,2000000,37512,7.04118682021753,4.218699940792721
130,1000000,1000000,22.35,343.12,2000000,40828,7.0443078279612035,4.216055094621532
140,1000000,1000000,22.28,343.72,2000000,43922,7.039524611811848,4.2258192632292335
150,1000000,1000000,22.22,346.55,2000000,29052,7.12684152554041,4.324548217968962
160,1000000,1000000,22.28,340.66,2000000,50168,7.064124541540425,4.2468218318472735
170,1000000,1000000,22.41,341.78,2000000,52873,7.057779963308305,4.228978348498624
180,1000000,1000000,22.41,339.67,2000000,55923,7.063730486561879,4.222392465009623
190,1000000,1000000,22.15,338.98,2000000,58979,7.056511639736177,4.224804326187612
200,1000000,1000000,22.25,335.14,2000000,38706,7.124941869477601,4.347612943400637
210,1000000,1000000,22.35,335.38,2000000,65065,7.07326519634212,4.235014998209375
220,1000000,1000000,22.50,334.34,2000000,68260,7.069030178728392,4.2370685060042454
230,1000000,1000000,22.48,337.00,2000000,71336,7.070805764270495,4.23180135499447
240,1000000,1000000,22.62,340.39,2000000,73846,7.0807220431709235,4.23393046549937
250,1000000,1000000,22.12,347.62,2000000,17050,7.326275659824047,4.4331038153602575
260,1000000,1000000,22.64,336.69,2000000,80067,7.044787490476725,4.22239668646524
270,1000000,1000000,22.35,334.94,2000000,83716,7.071372258588561,4.233825320100824
280,1000000,1000000,22.68,337.72,2000000,86553,7.05973218721477,4.236775099935826
290,1000000,1000000,22.76,337.88,2000000,89712,7.0530809702158015,4.219989244041535
300,1000000,1000000,22.17,345.77,2000000,57607,7.10427552207197,4.333060817638151
310,1000000,1000000,22.51,334.02,2000000,95915,7.071198456967107,4.226652956889221
320,1000000,1000000,22.96,335.77,2000000,99665,7.059168213515276,4.240289357027683
330,1000000,1000000,22.43,331.53,2000000,100660,7.049940393403537,4.225625285770881
340,1000000,1000000,22.73,334.41,2000000,103254,7.077440099172914,4.229328165259912
350,1000000,1000000,22.26,346.33,2000000,67100,7.115022354694486,4.338365702995494
360,1000000,1000000,22.84,332.92,2000000,107242,7.0609742451651405,4.230242261857662
370,1000000,1000000,22.86,337.50,2000000,109759,7.060696617133902,4.236199435671383
380,1000000,1000000,22.92,337.50,2000000,112379,7.070475800638909,4.258423495959555
390,1000000,1000000,22.88,334.28,2000000,113840,7.0626669009135625,4.249429493331717
400,1000000,1000000,22.43,345.48,2000000,76635,7.115482481894696,4.338650702554052
410,1000000,1000000,22.95,334.83,2000000,118148,7.057216372685107,4.2372579947788545
420,1000000,1000000,22.92,336.28,2000000,120314,7.086831125222335,4.244148785068719
430,1000000,1000000,23.04,335.08,2000000,121953,7.072560740613187,4.24072578293135
440,1000000,1000000,23.19,325.19,2000000,126079,7.076959684007646,4.248447348883582
450,1000000,1000000,22.27,342.53,2000000,86209,7.114698001368766,4.32995003055504
460,1000000,1000000,23.03,334.45,2000000,129749,7.069973564343464,4.250752940498838
470,1000000,1000000,22.84,332.52,2000000,132076,7.067355159150792,4.242364785153888
480,1000000,1000000,23.13,333.88,2000000,134321,7.0529626789556366,4.245879850870128
490,1000000,1000000,22.85,333.45,2000000,137208,7.066956737216489,4.254806187260107
500,1000000,1000000,22.16,349.30,2000000,34076,7.354120201901631,4.43920977918858
