Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,1000000,1000000,5.83,5.80,2000000,331,7.2990936555891235,4.255260462097821
10,1000000,1000000,5.84,5.58,2000000,3262,7.063458001226242,4.184779308115843
20,1000000,1000000,48.80,4.53,2000000,6312,7.064955640050697,4.2656846241326924
30,1000000,1000000,5.62,5.16,2000000,8977,7.118636515539713,4.22177441911246
40,1000000,1000000,96.61,4.98,2000000,12243,7.046230499060687,4.211837062075402
50,1000000,1000000,138.42,4.78,2000000,9471,7.14201245908563,4.336286242662382
60,1000000,1000000,72.27,4.33,2000000,17933,7.073384263648023,4.197097468993748
70,1000000,1000000,287.02,4.67,2000000,20916,7.042216484987569,4.238659112349462
80,1000000,1000000,233.29,3.62,2000000,24113,7.057852610624974,4.214208238642277
90,1000000,1000000,192.70,4.17,2000000,27197,7.097106298488804,4.23861973690411
100,1000000,1000000,180.49,4.02,2000000,18804,7.064773452456924,4.304620950090033
110,1000000,1000000,407.87,2.34,2000000,32996,7.069523578615589,4.218679598104965
120,1000000,1000000,455.08,2.22,2000000,36439,7.069760421526387,4.231502265434162
130,1000000,1000000,490.42,4.78,2000000,39678,7.086445889409749,4.218021489414294
140,1000000,1000000,592.33,3.41,2000000,42882,7.0320647357865775,4.228857165168797
150,1000000,1000000,404.43,3.20,2000000,28688,7.112207194645845,4.33683803622163
160,1000000,1000000,651.92,2.08,2000000,48745,7.017663350087188,4.203016704035479
170,1000000,1000000,565.42,4.36,2000000,52319,7.06404938932319,4.230116643437553
180,1000000,1000000,642.90,4.89,2000000,55570,7.076066222782076,4.244251066787975
190,1000000,1000000,691.93,3.69,2000000,58470,7.08536001368223,4.252616279227424
200,1000000,1000000,360.27,4.50,2000000,38489,7.132037725064304,4.327621115324626
210,1000000,1000000,709.89,5.02,2000000,64885,7.038252292517531,4.208880648310795
220,1000000,1000000,781.35,5.22,2000000,67912,7.07172517375427,4.241011943794995
230,1000000,1000000,866.95,5.25,2000000,70629,7.067224511178128,4.228746413350073
240,1000000,1000000,764.98,5.00,2000000,73523,7.064932062075813,4.217099573757939
250,1000000,1000000,180.29,4.48,2000000,16955,7.336596874078443,4.419398891928693
260,1000000,1000000,1017.77,5.12,2000000,78946,7.058559015022927,4.242458978974018
270,1000000,1000000,766.69,4.50,2000000,81962,7.059405578194773,4.21528683067588
280,1000000,1000000,1067.75,4.14,2000000,85198,7.063675203643278,4.232710357008599
